#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

########################
#
#	Basque events
#
########################

# General events

# Changeling events

# Basque feast events

# Holy Order events

PlusBasque_301;Sword of Ama Lur;Épée de Ama Lur;Schwert von Ama Lur;;Espada de Ama Lur;;;;;;;;;;;;;x
PlusBasque_301_desc;As more and more return to Vasconic rites and recognize the authority of the sorginak, some seek to support this precarious resurgence in a different way. They have banded together in the [d_sword_of_ama_lur.GetName], home to the Vasconic pantheon of deities, pledging to defend their homeland against all who would dare take it by force, to ensure the legacy of their ancestors will not be forgotten again.;Alors que de plus en plus de retour aux rites vasconi et reconnaissent l'autorité des sorginak, certains cherchent à soutenir cette résurgence précaire d'une manière différente. Ils se sont regroupés dans le [d_sword_of_ama_lur.GetName], le pays des jeunes et le panthéon des Divinités vasconiques, qui se sont engagés à défendre leur patrie soient à nouveau oubliés.;Während immer mehr zu vasconischen Riten zurückkehren und die Autorität der Sorginak anerkennen, versuchen einige, dieses prekäre Wiederaufleben auf andere Weise zu unterstützen. Sie haben sich im [d_sword_of_ama_lur.GetName], dem Land der Jungen und dem vasconischen Pantheon der Götter zusammengeschlossen und sich verpflichtet, ihr Heimatland zu verteidigen, um wieder in Vergessenheit zu geraten.;;A medida que más y más regresan a los ritos vasconicos y reconocen la autoridad de las sorginak, algunos buscan apoyar este resurgimiento precario de una manera diferente. Se han unido en el panteón de deidades [d_sword_of_ama_lur.GetName], la Tierra de los Jóvenes y el Vasconica, comprometiéndose a defender su patria a olvidarse nuevamente.;;;;;;;;;x
PlusBasque_301_a;[Root.Religion.GetHighGodNameCap] has not yet forgotten about us!;[Root.Religion.GetHighGodNameCap] ne nous a pas encore oublié!;[Root.Religion.GetHighGodNameCap] hat uns noch nicht vergessen!;;¡[Root.Religion.GetHighGodNameCap] aún no se ha olvidado de nosotros!;;;;;;;;;x
PlusBasque_301_b;What will these barbarians think of next?;On ne sait pas de quoi ces barbares sont capables !;Was wird diesen Barbaren noch alles einfallen?;;¿Qué se les ocurrirá a estos bárbaros ahora?;;;;;;;;;x

PlusBasque_303_desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Sword of Ama Lur in their tireless pursuit of heathenry, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre l'Épée de Ama Lur dans leur lutte infatigable contre les faibles hérétiques, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will den Schwert von Ama Lur in ihrem unermüdlichen Kampf gegen das Heidentum beitreten, obwohl ihn dies auf ewig von der Erbfolge ausschließt. ;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a la Espada de Ama Lur en su búsqueda incansable del paganismo, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x

PlusBasque_312_desc;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in carrying out the will of the sorginak! May the Gods favor you!\n\nFor [Root.Religion.GetHighGodName]!\nWarchief [From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans l'exécution de la volonté des sorginak!\nVous serez assuré d'une place dans l'autre monde!\n\nPour [Root.Religion.GetHighGodName]!\nChef de guerre [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen, den Willen der Sorginak zu verwirklichen! Sie werden sich einen Platz in der Anderswelt sichern!\n\nFür [Root.Religion.GetHighGodName]!\nKriegshäuptling [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda a llevar a cabo la voluntad de las Sorginak! ¡Te asegurarán un lugar en el Otro Mundo!.\n\nPor [Root.Religion.GetHighGodName]o,\nJefe Guerrero [From.GetFirstName];;;;;;;;;x

PlusBasque_303_a;Go with my blessing.;Vous avez ma bénédiction.;So gehe hin, mit meinem Segen.;;Otorgo mi bendición;;;;;;;;;x
PlusBasque_303_b;Absolutely not!;C'est hors de question! ;Auf keinen Fall!;;¡Me niego por completo!;;;;;;;;;x
