#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########################################
#
#	Plus cultures and overrides
#
###########################################

abkhazian;Abkhazian;Abkhaze;Abchasische;;Abjasio;;;;;;;;;x
afar;Afar;Afar;Afar;;Afar;;;;;;;;;x
amazigh;Berber;Berber;Berber;;Berber;;;;;;;;;x
anatolian;Turkish;Turc;Türkisch;;Turco;;;;;;;;;x
anglo_norse;Anglo-Norse;Anglo-Norrois;Anglonordisch;;Anglonórdico;;;;;;;;;x
aragonese;Aragonese;Aragonais;Aragonesisch;;Aragonesa;;;;;;;;;x
aramaic;Aramaic;Araméen;Aramaïsch;;Aramea;;;;;;;;;x
aromanian;Aromanian;Aroumain;Aromunisch;;Aromuno;;;;;;;;;x
arpitan;Arpitan;Arpitan;Arpitanisch;;Arpitano;;;;;;;;;x
ashkenazi;Ashkenazic;Ashkénaze;Aschkenasisch;;Asquenazí;;;;;;;;;x
atlasian;Masmuda;Masmouda;Masmuda;;Masmuda;;;;;;;;;x
azeri;Azeri;Azéri;Azerisch;;Azerí;;;;;;;;;x
bafour;Bafour;Bafot;Bafurisch;;Bafour;;;;;;;;;x
bashkir;Bashkir;Bachkir;Baschkirisch;;Baskir;;;;;;;;;x
bavarian;Bavarian;Bavarois;Bavarian;;Bávaro;;;;;;;;;x
beja;Beja;Bedja;Bedscha;;Beja;;;;;;;;;x
bihari;Bihari;Bihari;Bihari;;Bihari;;;;;;;;;x
bodo_kachari;Bodo-Kachari;Bodo-Kachari;Bodo-Kachari;;Bodo-Kachari;;;;;;;;;x
caucasian_avar;Caucasian Avar;Avar Caucasienne;Kaukasus Awarisch;;Avar Cáucasicos;;;;;;;;;x
chadic_group;Chadic;Tchadique;Chadisch;;Chadico;;;;;;;;;x
circassian;Circassian;Circassien;Zirkassisch;;Circasiano;;;;;;;;;x
coptic;Sahidic;Sahidique;Sahidisch;;Sahídico;;;;;;;;;x
coptic_group;Coptic;Copte;Koptisch;;Copto;;;;;;;;;x
cornish;Cornish;Cornish;Cornish;;Cornish;;;;;;;;;x
corsican;Corsican;Corse;Korse;;Corsa;;;;;;;;;x
crusader_group;Crusader;Croisé;Kreuzritter;;Cruzado;;;;;;;;;x
cumbric;Cumbrian;Cumbrian;Kumbrisch;;Cumbria;;;;;;;;;x
cushitic_group;Cushitic;Couchitiques;Kuschitisch;;Cushita;;;;;;;;;x
dardic;Dardic;Dardique;Dardisch;;Dárdicas;;;;;;;;;x
daylamite;Daylamite;Dailamite;Dailamitisch;;Dailamita;;;;;;;;;x
dhivehi;Dhivehi;Dhivehi;Dhivehi;;Dhivehi;;;;;;;;;x
east_aryan_group;East Aryan;Aryen Oriental;Ostarier;;Ario Oriental;;;;;;;;;x
east_germanic;East Germanic;Germanique oriental;Ostgermanisch;;Germánico oriental;;;;;;;;;x
east_iranian_group;East Iranian; Est Iranien;Ostiranisch;;Iraní Oriental;;;;;;;;;x
east_romance;Vlachic;Valaque;Walachisch;;Valaco;;;;;;;;;x
eastern_sudanic_group;Eastern Sudanic;Soudanique orientales;Ostsudanisch;;Sudánica oriental;;;;;;;;;x
emilian;Emilian;Émilien;Emilianisch;;Emiliana;;;;;;;;;x
flemish;Flemish;Flamand;Flämisch;;Flamenco;;;;;;;;;x
franco_germanic;Rhine-Weser Germanic;Rhin-Visurge germanique;Rhein-Weser-Germanisch;;Rin-Weser germánico;;;;;;;;;x
franconian;Franconian;Francique;Fränkisch;;Franconica;;;;;;;;;x
galician;Galician;Galicien;Galicier;;Gallego;;;;;;;;;x
gallawa;Galwegian;Gallovidien;Galwegisch;;Hiberno-Nórdico;;;;;;;;;x
geatish;Geatish;Götalandais;Geatisch;;Gauta;;;;;;;;;x
guanche;Guanche;Guanche;Guanchisch;;Guanche;;;;;;;;;x
houara;Houara;Houara;Houara;;Houara;;;;;;;;;x
himachali;Himachali;Himachali;Himachali;;Himachali;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;Islandés;;;;;;;;;x
imperial_german;High German;Haute Allemand;Reichdeutsch;;Alto Alemán;;;;;;;;;x
insular_aryan_group;Insular Aryan;Aryen Insulaire;Inselarier;;Ario Insular;;;;;;;;;x
iraqi;Mesopotamian;Mesopotamian;Mesopotamian;;Mesopotamian;;;;;;;;;x
island_romance;Insular Romance;Romance d'île;Inselromantik;;Romance de las Islas;;;;;;;;;x
israeli;Israeli;Israélien;Israelisch;;Israelí;;;;;;;;;x
italian_group;Italo-Romance;Romance d'Italie;Italischer Romantik;;Romance de Italia;;;;;;;;;x
kafiri;Kafiri;Kafiri;Kafiri;;Kafiri;;;;;;;;;x
kartvelian_group;Kartvelian;Kartvélien;Kartwelisch;;Kartveliana;;;;;;;;;x
khwarazmian;Khwarazmian;Chorasmien;Choresmisch;;Corasmia;;;;;;;;;x
kipchak;Kipchak;Couchitiques;Kaptchak;;Kipchak;;;;;;;;;x
latin_culture;Latin;Latine;Lateinisch;;Latina;;;;;;;;;x
leonese;Leonese;Léonais;Leonesisch;;Leonés;;;;;;;;;x
ligurian;Ligurian;Ligure;Ligurisch;;Ligur;;;;;;;;;x
lombard;Lombard;Lombarde;Lombardisch;;Lombarda;;;;;;;;;x
longobard;Longobard;Langobard;Langobard;;Longobarda;;;;;;;;;x
luri;Luri;Louri;Lurisch;;Lorí;;;;;;;;;x
maghreb_arabic;Maghrebi;Maghrebi;Maghrebi;;Magrebí;;;;;;;;;x
maghrebi;Moorish;Mauresque;Maurisch;;Morisco;;;;;;;;;x
malayalam;Malayalam;Malayalam;Malayalam;;Malayalam;;;;;;;;;x
mari;Mari;Mari;Mari;;Mari;;;;;;;;;x
mizrahi;Mizrahi;Mizrahim;Mizrachim;;Mizrají;;;;;;;;;x
neapolitan;Neapolitan;Napolitain;Neapolitanisch;;Napolitano;;;;;;;;;x
nuristani_group;Nuristani;Nouristani;Nuristani;;Nuristani;;;;;;;;;x
northeast_caucasian_group;Northeast Caucasian;Caucasien du Nord-Est;Nordost Kaukasisch;;Caucásicas Nororientales;;;;;;;;;x
northwest_caucasian_group;Northwest Caucasian;Caucasien du Nord-Ouest;Nordwest Kaukasisch;;Caucásicas Noroccidentales;;;;;;;;;x
novgorodian;Novgorodian;Novgorodien;Novgorodisch;;Nóvgorodo;;;;;;;;;x
occitano_romance_group;Occitano-Romance;Occitano-Romanes;Okzitanisch-Romanisch;;Occitanorromances;;;;;;;;;x
pontic_greek;Pontic;Pontic;Pontic;;Póntica;;;;;;;;;x
ruthenian;Ruthenian;Ruthène;Ruthenisch;;Rutenio;;;;;;;;;x
samodeic_group;Samodeic;Samodeic;Samodeic;;Samodeic;;;;;;;;;x
sanhaja;Sanhaja;Sanhadja;Sanhadscha;;Sanhaya;;;;;;;;;x
sephardic;Sephardic;Séfarade;Sephardisch;;Sephardic;;;;;;;;;x
sicilian;Sicilian;Sicilien;Sizilianisch;;Siciliano;;;;;;;;;x
sicilian_arabic;Siculo-Arabic;Sicilien-Arabe;Sizilian-Arabisch;;Siciliano-Árabe;;;;;;;;;x
