#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
azeri;Azeri;Azeri;Azeri;;Azeri;;;;;;;;;x
altaic;Mongolic;;;;;;;;;;;;;x
anatolian;Turkish;;;;;;;;;;;;;x
turkish;Oghuz;;;;;;;;;;;;;x
turkic_group;Turkic;;;;;;;;;;;;;x
arpitan;Arpitan;Arpitan;Arpitan;;Arpitan;;;;;;;;;x
bohemian;Czech;Tchèque;Tschechisch;;Checo;;;;;;;;;x
bolghar;Bolghar;Bolghare;Bolgharisch;;Bólgharo;;;;;;;;;x
bafour;Bafour;Bafour;Bafourisch;;Bafour;;;;;;;;;x

coptic;Sahidic;Sahidique;Sahidischen;;Sahídico;;;;;;;;;x
coptic_group;Coptic;Copte;Koptisch;;Copto;;;;;;;;;x

cornish;Cornish;Cornish;Cornish;;Cornish;;;;;;;;;x
crusader_group;Crusader;Croisé;Kreuzritter;;Cruzado;;;;;;;;;x
english_norse;Anglo-Norse;Anglo-Scandinave;Anglo-Nordisch;;Anglo-Nórdico;;;;;;;;;x
georgian_group;Kartvelian;;;;;;;;;;;;;x
gallawa;Galwegian;Gallovidien;Galwegisch;;Hiberno-Nórdico;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;Islandés;;;;;;;;;x
iranian;Iranian;Iranien;Iranisch;;Iraní;;;;;;;;;x
jolof;Wolof;Wolof;Wolof;;Wólof;;;;;;;;;x
khazar;Khazar;Khazare;Chasarisch;;Hazaroj;;;;;;;;;x
mizrahim;Mizrahim;Mizrahim;Mizrahim;;Mizrajim;;;;;;;;;x
pommeranian;Wend;Wende;Wendisch;;Wendo;;;;;;;;;x
saxon;Anglo-Saxon;Anglo-Saxon;Angelsächsisch;;Anglosajón;;;;;;;;;x

sephardic;Sephardic;Séfarade;Sephardisch;;Sephardic;;;;;;;;;x

sicilian;Sicilian;Sicilien;Sizilianisch;;Siciliano;;;;;;;;;x
sicilian_arabic;Siculo-Arabic;Sicilien-Arabe;Sizilian-Arabisch;;Siciliano-Árabe;;;;;;;;;x
sicilian_greek;Siculo-Greek;Sicilien-Grec;Sizilian-Griech;;Siciliano-Griego;;;;;;;;;x

sosso;Susu;Soussou;Susu;;Sosso;;;;;;;;;x
arberian;Albanian;Albaniais;Albanisch;;Albanés;;;;;;;;;x
aramaic;Aramaic;Araméen;Aramaïsch;;Aramea;;;;;;;;;x

beja;Beja;Bedja;Bedscha;;Beja;;;;;;;;;x
songhay;Songhai;Songhaï;Songhai;;Songhai;;;;;;;;;x

east_germanic;East Germanic;Est Germanique;Ostgermanischen;;Este Germánico;;;;;;;;;x

east_romance;Vlach;Valaque;Walache;;Valaco;;;;;;;;;x
